Sitio;casa;num_eventos_mon;cr_100_mon;num_eventos_rat;noches_trampa;cr_100_rat;num_eventos_ray;cr_100_ray;Altitud;Pendiente;Prom_sotob;PROM_BAMBU;Cob_dosel_Superior;Riqueza_ARB;DAP;Cavidades;Decay;Abundancia_tree
Kawelluco;2;0;0;26;167;15.56886228;0;0;419.1;0;3.6;0;4;3;17.74971352;4;1;8
Kawelluco;3;6;3.592814371;24;167;14.37125749;1;0.598802395;418.2;0;2.6;0;3;5;16.64756812;1;1.4;10
Kawelluco;4;1;0.598802395;0;167;0;2;1.19760479;418;0;9.8;0;3;7;28.76037769;3;1.5;8
Kawelluco;5;NA;NA;NA;NA;NA;NA;NA;415.6;0;8.4;0;3;6;31.91078856;2;1;3
Kawelluco;6;2;1.19760479;15;167;8.982035928;25;14.97005988;424.8;0;4.2;0;3;5;35.77019899;1;1.142857143;7
Kawelluco;7;1;0.598802395;4;167;2.395209581;5;2.994011976;424;0;3.4;0;3;3;23.7715177;3;1.3;10
Kawelluco;8;0;0;2;167;1.19760479;0;0;421.6;0;3.8;0.2;2;5;35.44182764;3;1.714285714;7
Kawelluco;10;0;0;0;5;0;0;0;423.8;0;4.6;0;4;4;35.09291724;0;1;5
Kawelluco;11;0;0;41;166;24.69879518;0;0;426.1;0;5;0;3;5;19.36115355;11;1.375;8
Kawelluco;12;4;2.409638554;3;166;1.807228916;39;23.4939759;424.3;0;4.8;0;3;4;21.7166412;3;1.5;8
Kawelluco;14;0;0;9;167;5.389221557;7;4.191616766;420;0;4.4;0.2;3;5;17.42742552;0;1;2
Kawelluco;15;1;0.787401575;3;127;2.362204724;9;7.086614173;416.4;0;4;0;3;8;81.38;4;1.222222222;9
Kawelluco;16;0;0;63;166;37.95180723;0;0;426.2;0;11.8;0;2;4;19.4840421;1;1.555555556;9
Kawelluco;17;6;3.614457831;17;166;10.24096386;7;4.21686747;424.1;0;4.6;0;3;5;31.61089891;5;1.2;5
Kawelluco;18;8;4.819277108;2;166;1.204819277;38;22.89156627;422.2;0;5.6;0;2;5;49.08222222;7;1.444444444;9
Kawelluco;19;1;0.602409639;4;166;2.409638554;28;16.86746988;421;0;6;0;2;5;28.43621085;10;1.428571429;7
Kawelluco;20;0;0;0;166;0;11;6.626506024;418.7;0;4.6;0;4;6;22.28011204;5;1.333333333;6
Kawelluco;21;0;0;26;67;38.80597015;8;11.94029851;424.4;0;10.8;0;2;3;17.64185013;3;1.272727273;11
Kawelluco;23;7;4.093567251;9;171;5.263157895;36;21.05263158;421.6;0;7.4;0;1;3;18.4327913;4;1.714285714;7
Kawelluco;24;2;1.169590643;16;171;9.356725146;23;13.4502924;421.8;0;8.4;0;1;5;21.1867838;1;1.2;10
